model,feature_set,param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
XGBoost,baseline,reg_alpha,0.0,0.18363315415088843,1.0,0.3252990278231668,0.14166587367227834
XGBoost,baseline,learning_rate,0.1,0.18632230968832325,0.01,0.32425863090272733,0.13793632121440408
XGBoost,baseline,reg_lambda,0.0,0.1982576254567685,10.0,0.2776641651399019,0.07940653968313338
XGBoost,baseline,n_estimators,150,0.2048086799497472,50,0.2757134463494856,0.07090476639973839
XGBoost,baseline,subsample,1.0,0.21509733742400744,0.8,0.23376795528362934,0.018670617859621902
XGBoost,baseline,min_child_weight,1,0.2161440406535831,3,0.2327607964925485,0.01661675583896538
XGBoost,baseline,colsample_bytree,0.8,0.2230422658266201,1.0,0.2275675687725564,0.00452530294593631
XGBoost,augmented,reg_alpha,0.0,0.18351374782436705,1.0,0.32542411636586654,0.1419103685414995
XGBoost,augmented,learning_rate,0.1,0.186613429423787,0.01,0.32248339116897035,0.13586996174518334
XGBoost,augmented,reg_lambda,0.0,0.20010863590651157,10.0,0.2775630500915216,0.07745441418501003
XGBoost,augmented,n_estimators,150,0.2026219657410504,50,0.2739866753790502,0.07136470963799979
XGBoost,augmented,subsample,1.0,0.2160532617462611,0.8,0.23075317942253054,0.014699917676269436
XGBoost,augmented,min_child_weight,1,0.21529582920293444,3,0.2270458215899871,0.011749992387052655
XGBoost,augmented,colsample_bytree,1.0,0.22111999528169257,0.8,0.22164753474314597,0.0005275394614533968
